id	acronym	parent	name	
54	80	habenular commissure		habenular commissure
55	81	Nucleus of the stria medullaris		Nucleus of the stria medullaris
56	82	Basal forebrain region- unspecified		Basal forebrain region- unspecified
57	83	supraoptic decussation		supraoptic decussation
58	84	medial lemniscus decussation		medial lemniscus decussation
59	85	pyramidal decussation		pyramidal decussation
60	93	Bed nucleus of the stria terminalis		Bed nucleus of the stria terminalis
61	94	Pretectal region		Pretectal region
62	95	Cornu ammonis 3		Cornu ammonis 3
63	96	Dentate gyrus		Dentate gyrus
64	97	Cornu ammonis 2		Cornu ammonis 2
65	98	Cornu ammonis 1		Cornu ammonis 1
66	99	Fasciola cinereum		Fasciola cinereum
67	100	Subiculum		Subiculum
68	108	Postrhinal cortex		Postrhinal cortex
69	109	Presubiculum		Presubiculum
70	110	Parasubiculum		Parasubiculum
71	112	Perirhinal area 35		Perirhinal area 35
