id	acronym	name	parent
397	15949	VAPs	superficial_stratum_of_the_VAP	15942
398	15950	PMCo	posteromedial_cortical_amygdaloid_area	15949
399	15951	LOT	nucleus_of_the_lateral_olfactory_tract	15949
400	15952	LOT3	layer_3_of_LOT	15951
401	15953	LOT2	layer_2_of_LOT	15951
402	15954	LOT1	layer_1_of_LOT	15951
403	15955	NAOT	nucleus_of_the_accessory_olfactory_tract	15949
404	15956	LPall	lateral_pallium	15903
405	15957	AOB	accessory_olfactory_bulb	15956
406	15958	AOBv	ventricular_zone_of_AOB	15957
407	15959	AOBm	mantle_zone_of_AOB	15957
408	15960	AOBp	periventricular_stratum_of_AOB	15959
409	15961	AGr	AOB,_granular_layer	15960
410	15962	AIPl	AOB,_internal_plexiform_layer	15960
411	15963	AOBi	intermediate_stratum_of_AOB	15959
412	15964	AMtr	AOB,_mitral_cell_layer	15963
413	15965	AOPl	AOB,_outer_plexiform_layer	15963
414	15966	AOBs	superficial_stratum_of_AOB	15959
415	15967	AGlom	AOB,_glomerular_layer	15966
416	15968	AOF	AOB,_fiber_layer	15966
417	15969	AOD	anterior_olfactory_area,_dorsal_part	15956
418	15970	AODv	ventricular_zone_of_AOD	15969
419	15971	AODm	mantle_zone_of_AOD	15969
420	15972	AODp	periventricular_stratum_of_AOD	15971
421	15973	AODi	intermediate_stratum_of_AOD	15971
422	15974	AODs	superficial_stratum_of_AOD	15971
423	15975	AOD1	layer_1_of_AOD_cortex	15974
424	15976	AOD2	layer_2_of_AOD_cortex	15974
425	15977	AOD3	layer_3_of_AOD_cortex	15974
426	15978	AODE	external_part_of_AOD	15974
427	15979	LPrP	lateropallial_prepiriform_area	15956
428	15980	LPrPv	ventricular_zone_of_LPrP	15979
429	15981	LPrPm	mantle_zone_of_LPrP	15979
430	15982	LPrPp	periventricular_stratum_of_LPrP	15981
431	15983	LPrPi	intermediate_stratum_of_LPrP	15981
432	15984	Cl	claustrum	15983
433	15985	LPrPs	superficial_stratum_of_LPrP	15981
434	15986	LPrP1	layer_1_of_LPrP_cortex	15985
435	15987	LPrP2	layer_2_of_LPrP_cortex	15985
436	15988	LPrP3	layer_3_of_LPrP_cortex	15985
437	15989	LAP	lateropallial_amygdalopiriform_area	15956
438	15990	LAPv	ventricular_zone_of_LAP	15989
439	15991	LAPm	mantle_zone_of_LAP	15989
440	15992	LAPp	periventricular_stratum_of_LAP	15991
441	15993	LAPi	intermediate_stratum_of_LAP	15991
442	15994	BLA	basolateral_amygdaloid_nucleus,_anterior_part	15993
443	15995	BLP	basolateral_amygdaloid_nucleus,_posterior_part	15993
444	15996	BLV	basolateral_amygdaloid_nucleus,_ventral_part	15993
445	15997	LAPs	superficial_stratum_of_LAP	15991
446	15998	APir	amygdalopiriform_area	15997
447	15999	PLCo	posterolateral_cortical_amygdaloid_area	15997
448	16000	ACo	anterior_cortical_amygdaloid_area	15997
449	16001	DPall	dorsal_pallium/isocortex	15903
450	20552	DPallv	ventricular_zone_of_DPall	16001
451	20554	DPallm	mantle_zone_of_DPall	16001
452	20556	DPallp	periventricular_stratum_of_DPall	20554
453	20558	DPalli	intermediate_stratum_of_DPall	20554
454	20560	DPalls	superficial_stratum_of_DPall	20554
455	16002	FCx	frontal_cortex	16001
456	16003	FCv	ventricular_zone_of_FCx	16002
457	16004	FCm	mantle_zone_of_FCx	16002
458	16005	FCp	periventricular_stratum_of_FCx_(subventricular_zone)	16004
459	16006	FCi	intermediate_stratum_of_FCx_(white_matter/subplate)	16004
460	16007	FCs	superficial_stratum_of_FCx_(cortical_plate/marginal_zone)	16004
461	16008	FC-1	layer_1_of_FCx	16007
462	16009	FC-2	layer_2_of_FCx	16007
463	16010	FC-3	layer_3_of_FCx	16007
464	16011	FC-4	layer_4_of_FCx	16007
465	16012	FC-5	layer_5_of_FCx	16007
466	16013	FC-6	layer_6_of_FCx	16007
467	16014	FC-6a	sublayer_6a_of_FCx	16013
468	16015	FC-6b	sublayer_6b_of_FCx	16013
469	16016	PCx	parietal_cortex	16001
470	16017	PCv	ventricular_zone_of_PCx	16016
471	16018	PCm	mantle_zone_of_PCx	16016
472	16019	PCp	periventricular_stratum_of_PCx_(subventricular_zone)	16018
473	16020	PCi	intermediate_stratum_of_PCx_(white_matter/subplate)	16018
474	16021	PCs	superficial_stratum_of_PCx_(cortical_plate/marginal_zone)	16018
475	16022	PC-1	layer_1_of_PCx	16021
476	16023	PC-2	layer_2_of_PCx	16021
477	16024	PC-3	layer_3_of_PCx	16021
478	16025	PC-4	layer_4_of_PCx	16021
479	16026	PC-5	layer_5_of_PCx	16021
480	16027	PC-6	layer_6_of_PCx	16021
481	16028	PC-6a	sublayer_6a_of_PCx	16027
482	16029	PC-6b	sublayer_6b_of_PCx	16027
483	16030	OCx	occipital_cortex	16001
484	16031	OCv	ventricular_zone_of_OCx	16030
485	16032	OCm	mantle_zone_of_OCx	16030
486	16033	OCp	periventricular_stratum_of_OCx_(subventricular_zone)	16032
487	16034	OCi	intermediate_stratum_of_OCx_(white_matter/subplate)	16032
488	16035	OCs	superficial_stratum_of_OCx_(cortical_plate/marginal_zone)	16032
489	16036	OC-1	layer_1_of_OCx	16035
490	16037	OC-2	layer_2_of_OCx	16035
491	16038	OC-3	layer_3_of_OCx	16035
492	16039	OC-4	layer_4_of_OCx	16035
493	16040	OC-5	layer_5_of_OCx	16035
494	16041	OC-6	layer_6_of_OCx	16035
495	16042	OC-6a	sublayer_6a_of_OCx	16041
496	16043	OC-6b	sublayer_6b_of_OCx	16041
497	16044	TCx	temporal_cortex	16001
